phenotype	description	variable_type	source	n_non_missing	n_missing	n_controls	n_cases	PHESANT_transformation	notes
T17	Diagnoses - main ICD10: T17 Foreign body in respiratory tract	categorical	icd10	361194	0	360957	237	NA	NA
J96	Diagnoses - main ICD10: J96 Respiratory failure, not elsewhere classified	categorical	icd10	361194	0	361000	194	NA	NA
Z40	Diagnoses - main ICD10: Z40 Prophylactic surgery	categorical	icd10	361194	0	360669	525	NA	NA
K70	Diagnoses - main ICD10: K70 Alcoholic liver disease	categorical	icd10	361194	0	360850	344	NA	NA
I26	Diagnoses - main ICD10: I26 Pulmonary embolism	categorical	icd10	361194	0	359076	2118	NA	NA
A09	Diagnoses - main ICD10: A09 Diarrhoea and gastro-enteritis of presumed infectious origin	categorical	icd10	361194	0	359033	2161	NA	NA
J47	Diagnoses - main ICD10: J47 Bronchiectasis	categorical	icd10	361194	0	360801	393	NA	NA
B37	Diagnoses - main ICD10: B37 Candidiasis	categorical	icd10	361194	0	360942	252	NA	NA
M94	Diagnoses - main ICD10: M94 Other disorders of cartilage	categorical	icd10	361194	0	360861	333	NA	NA
O35	Diagnoses - main ICD10: O35 Maternal care for known or suspected foetal abnormality and damage	categorical	icd10	361194	0	361088	106	NA	NA
H65	Diagnoses - main ICD10: H65 Nonsuppurative otitis media	categorical	icd10	361194	0	360413	781	NA	NA
Z04	Diagnoses - main ICD10: Z04 Examination and observation for other reasons	categorical	icd10	361194	0	360695	499	NA	NA
R11	Diagnoses - main ICD10: R11 Nausea and vomiting	categorical	icd10	361194	0	358923	2271	NA	NA
F43	Diagnoses - main ICD10: F43 Reaction to severe stress, and adjustment disorders	categorical	icd10	361194	0	360967	227	NA	NA
Z53	Diagnoses - main ICD10: Z53 Persons encountering health services for specifie procedures, not carried out	categorical	icd10	361194	0	359440	1754	NA	NA
N13	Diagnoses - main ICD10: N13 Obstructive and reflux uropathy	categorical	icd10	361194	0	359835	1359	NA	NA
O36	Diagnoses - main ICD10: O36 Maternal care for other known or suspected foetal problems	categorical	icd10	361194	0	360045	1149	NA	NA
D24	Diagnoses - main ICD10: D24 Benign neoplasm of breast	categorical	icd10	361194	0	360105	1089	NA	NA
K57	Diagnoses - main ICD10: K57 Diverticular disease of intestine	categorical	icd10	361194	0	348532	12662	NA	NA
S76	Diagnoses - main ICD10: S76 Injury of muscle and tendon at hip and thigh level	categorical	icd10	361194	0	360914	280	NA	NA
I46	Diagnoses - main ICD10: I46 Cardiac arrest	categorical	icd10	361194	0	361027	167	NA	NA
I65	Diagnoses - main ICD10: I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	categorical	icd10	361194	0	360734	460	NA	NA
T83	Diagnoses - main ICD10: T83 Complications of genito-urinary prosthetic devices, implants and grafts	categorical	icd10	361194	0	360468	726	NA	NA
K06	Diagnoses - main ICD10: K06 Other disorders of gingiva and edentulous alveolar ridge	categorical	icd10	361194	0	360977	217	NA	NA
H83	Diagnoses - main ICD10: H83 Other diseases of inner ear	categorical	icd10	361194	0	360676	518	NA	NA
D33	Diagnoses - main ICD10: D33 Benign neoplasm of brain and other parts of central nervous system	categorical	icd10	361194	0	360941	253	NA	NA
N20	Diagnoses - main ICD10: N20 Calculus of kidney and ureter	categorical	icd10	361194	0	357654	3540	NA	NA
J02	Diagnoses - main ICD10: J02 Acute pharyngitis	categorical	icd10	361194	0	360853	341	NA	NA
R26	Diagnoses - main ICD10: R26 Abnormalities of gait and mobility	categorical	icd10	361194	0	360864	330	NA	NA
N17	Diagnoses - main ICD10: N17 Acute renal failure	categorical	icd10	361194	0	360400	794	NA	NA
S89	Diagnoses - main ICD10: S89 Other and unspecified injuries of lower leg	categorical	icd10	361194	0	361070	124	NA	NA
F31	Diagnoses - main ICD10: F31 Bipolar affective disorder	categorical	icd10	361194	0	360823	371	NA	NA
K02	Diagnoses - main ICD10: K02 Dental caries	categorical	icd10	361194	0	359084	2110	NA	NA
A04	Diagnoses - main ICD10: A04 Other bacterial intestinal infections	categorical	icd10	361194	0	360432	762	NA	NA
I30	Diagnoses - main ICD10: I30 Acute pericarditis	categorical	icd10	361194	0	361058	136	NA	NA
L50	Diagnoses - main ICD10: L50 Urticaria	categorical	icd10	361194	0	361051	143	NA	NA
T40	Diagnoses - main ICD10: T40 Poisoning by narcotics and psychodysleptics [hallucinogens]	categorical	icd10	361194	0	360918	276	NA	NA
K90	Diagnoses - main ICD10: K90 Intestinal malabsorption	categorical	icd10	361194	0	360272	922	NA	NA
C50	Diagnoses - main ICD10: C50 Malignant neoplasm of breast	categorical	icd10	361194	0	352890	8304	NA	NA
K10	Diagnoses - main ICD10: K10 Other diseases of jaws	categorical	icd10	361194	0	361006	188	NA	NA
K46	Diagnoses - main ICD10: K46 Unspecified abdominal hernia	categorical	icd10	361194	0	361088	106	NA	NA
C02	Diagnoses - main ICD10: C02 Malignant neoplasm of other and unspecified parts of tongue	categorical	icd10	361194	0	361042	152	NA	NA
M25	Diagnoses - main ICD10: M25 Other joint disorders, not elsewhere classified	categorical	icd10	361194	0	353976	7218	NA	NA
S93	Diagnoses - main ICD10: S93 Dislocation, sprain and strain of joints and ligaments at ankle and foot level	categorical	icd10	361194	0	361076	118	NA	NA
E10	Diagnoses - main ICD10: E10 Insulin-dependent diabetes mellitus	categorical	icd10	361194	0	360724	470	NA	NA
C22	Diagnoses - main ICD10: C22 Malignant neoplasm of liver and intrahepatic bile ducts	categorical	icd10	361194	0	361005	189	NA	NA
M75	Diagnoses - main ICD10: M75 Shoulder lesions	categorical	icd10	361194	0	354154	7040	NA	NA
N23	Diagnoses - main ICD10: N23 Unspecified renal colic	categorical	icd10	361194	0	359786	1408	NA	NA
Z51	Diagnoses - main ICD10: Z51 Other medical care	categorical	icd10	361194	0	360983	211	NA	NA
R21	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	categorical	icd10	361194	0	360816	378	NA	NA
K80	Diagnoses - main ICD10: K80 Cholelithiasis	categorical	icd10	361194	0	350674	10520	NA	NA
T81	Diagnoses - main ICD10: T81 Complications of procedures, not elsewhere classified	categorical	icd10	361194	0	355644	5550	NA	NA
E16	Diagnoses - main ICD10: E16 Other disorders of pancreatic internal secretion	categorical	icd10	361194	0	360899	295	NA	NA
L72	Diagnoses - main ICD10: L72 Follicular cysts of skin and subcutaneous tissue	categorical	icd10	361194	0	354550	6644	NA	NA
H93	Diagnoses - main ICD10: H93 Other disorders of ear, not elsewhere classified	categorical	icd10	361194	0	361069	125	NA	NA
M18	Diagnoses - main ICD10: M18 Arthrosis of first carpometacarpal joint	categorical	icd10	361194	0	360296	898	NA	NA
B18	Diagnoses - main ICD10: B18 Chronic viral hepatitis	categorical	icd10	361194	0	361060	134	NA	NA
M06	Diagnoses - main ICD10: M06 Other rheumatoid arthritis	categorical	icd10	361194	0	359793	1401	NA	NA
J33	Diagnoses - main ICD10: J33 Nasal polyp	categorical	icd10	361194	0	358987	2207	NA	NA
G95	Diagnoses - main ICD10: G95 Other diseases of spinal cord	categorical	icd10	361194	0	360972	222	NA	NA
R29	Diagnoses - main ICD10: R29 Other symptoms and signs involving the nervous and musculoskeletal systems	categorical	icd10	361194	0	360308	886	NA	NA
K52	Diagnoses - main ICD10: K52 Other non-infective gastro-enteritis and colitis	categorical	icd10	361194	0	352437	8757	NA	NA
N87	Diagnoses - main ICD10: N87 Dysplasia of cervix uteri	categorical	icd10	361194	0	360092	1102	NA	NA
M35	Diagnoses - main ICD10: M35 Other systemic involvement of connective tissue	categorical	icd10	361194	0	360983	211	NA	NA
C17	Diagnoses - main ICD10: C17 Malignant neoplasm of small intestine	categorical	icd10	361194	0	361080	114	NA	NA
I74	Diagnoses - main ICD10: I74 Arterial embolism and thrombosis	categorical	icd10	361194	0	360684	510	NA	NA
I27	Diagnoses - main ICD10: I27 Other pulmonary heart diseases	categorical	icd10	361194	0	361077	117	NA	NA
R63	Diagnoses - main ICD10: R63 Symptoms and signs concerning food and fluid intake	categorical	icd10	361194	0	359915	1279	NA	NA
M72	Diagnoses - main ICD10: M72 Fibroblastic disorders	categorical	icd10	361194	0	358001	3193	NA	NA
M76	Diagnoses - main ICD10: M76 Enthesopathies of lower limb, excluding foot	categorical	icd10	361194	0	360905	289	NA	NA
O34	Diagnoses - main ICD10: O34 Maternal care for known or suspected abnormality of pelvic organs	categorical	icd10	361194	0	360403	791	NA	NA
H57	Diagnoses - main ICD10: H57 Other disorders of eye and adnexa	categorical	icd10	361194	0	361004	190	NA	NA
H18	Diagnoses - main ICD10: H18 Other disorders of cornea	categorical	icd10	361194	0	360899	295	NA	NA
F41	Diagnoses - main ICD10: F41 Other anxiety disorders	categorical	icd10	361194	0	360778	416	NA	NA
K51	Diagnoses - main ICD10: K51 Ulcerative colitis	categorical	icd10	361194	0	359051	2143	NA	NA
R35	Diagnoses - main ICD10: R35 Polyuria	categorical	icd10	361194	0	359421	1773	NA	NA
K59	Diagnoses - main ICD10: K59 Other functional intestinal disorders	categorical	icd10	361194	0	357482	3712	NA	NA
G57	Diagnoses - main ICD10: G57 Mononeuropathies of lower limb	categorical	icd10	361194	0	360083	1111	NA	NA
C80	Diagnoses - main ICD10: C80 Malignant neoplasm without specification of site	categorical	icd10	361194	0	360796	398	NA	NA
I89	Diagnoses - main ICD10: I89 Other non-infective disorders of lymphatic vessels and lymph nodes	categorical	icd10	361194	0	361069	125	NA	NA
R25	Diagnoses - main ICD10: R25 Abnormal involuntary movements	categorical	icd10	361194	0	360961	233	NA	NA
C79	Diagnoses - main ICD10: C79 Secondary malignant neoplasm of other sites	categorical	icd10	361194	0	360095	1099	NA	NA
N88	Diagnoses - main ICD10: N88 Other noninflammatory disorders of cervix uteri	categorical	icd10	361194	0	360759	435	NA	NA
C82	Diagnoses - main ICD10: C82 Follicular [nodular] non-Hodgkin's lymphoma	categorical	icd10	361194	0	360874	320	NA	NA
K08	Diagnoses - main ICD10: K08 Other disorders of teeth and supporting structures	categorical	icd10	361194	0	359356	1838	NA	NA
R51	Diagnoses - main ICD10: R51 Headache	categorical	icd10	361194	0	356923	4271	NA	NA
G62	Diagnoses - main ICD10: G62 Other polyneuropathies	categorical	icd10	361194	0	360902	292	NA	NA
M17	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	categorical	icd10	361194	0	349697	11497	NA	NA
R52	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	categorical	icd10	361194	0	360884	310	NA	NA
H92	Diagnoses - main ICD10: H92 Otalgia and effusion of ear	categorical	icd10	361194	0	360943	251	NA	NA
R09	Diagnoses - main ICD10: R09 Other symptoms and signs involving the circulatory and respiratory systems	categorical	icd10	361194	0	360820	374	NA	NA
F52	Diagnoses - main ICD10: F52 Sexual dysfunction, not caused by organic disorder or disease	categorical	icd10	361194	0	361073	121	NA	NA
S39	Diagnoses - main ICD10: S39 Other and unspecified injuries of abdomen, lower back and pelvis	categorical	icd10	361194	0	360999	195	NA	NA
Z76	Diagnoses - main ICD10: Z76 Persons encountering health services in other circumstances	categorical	icd10	361194	0	361076	118	NA	NA
H16	Diagnoses - main ICD10: H16 Keratitis	categorical	icd10	361194	0	361040	154	NA	NA
D89	Diagnoses - main ICD10: D89 Other disorders involving the immune mechanism, not elsewhere classified	categorical	icd10	361194	0	361043	151	NA	NA
G56	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	categorical	icd10	361194	0	353064	8130	NA	NA
K04	Diagnoses - main ICD10: K04 Diseases of pulp and periapical tissues	categorical	icd10	361194	0	359585	1609	NA	NA
J32	Diagnoses - main ICD10: J32 Chronic sinusitis	categorical	icd10	361194	0	360015	1179	NA	NA
S46	Diagnoses - main ICD10: S46 Injury of muscle and tendon at shoulder and upper arm level	categorical	icd10	361194	0	361053	141	NA	NA
C69	Diagnoses - main ICD10: C69 Malignant neoplasm of eye and adnexa	categorical	icd10	361194	0	361057	137	NA	NA
R32	Diagnoses - main ICD10: R32 Unspecified urinary incontinence	categorical	icd10	361194	0	360323	871	NA	NA
D48	Diagnoses - main ICD10: D48 Neoplasm of uncertain or unknown behaviour of other and unspecified sites	categorical	icd10	361194	0	360650	544	NA	NA
C73	Diagnoses - main ICD10: C73 Malignant neoplasm of thyroid gland	categorical	icd10	361194	0	360916	278	NA	NA
Z12	Diagnoses - main ICD10: Z12 Special screening examination for neoplasms	categorical	icd10	361194	0	357042	4152	NA	NA
R07	Diagnoses - main ICD10: R07 Pain in throat and chest	categorical	icd10	361194	0	336664	24530	NA	NA
L60	Diagnoses - main ICD10: L60 Nail disorders	categorical	icd10	361194	0	360308	886	NA	NA
L08	Diagnoses - main ICD10: L08 Other local infections of skin and subcutaneous tissue	categorical	icd10	361194	0	360732	462	NA	NA
I51	Diagnoses - main ICD10: I51 Complications and ill-defined descriptions of heart disease	categorical	icd10	361194	0	360924	270	NA	NA
K20	Diagnoses - main ICD10: K20 Oesophagitis	categorical	icd10	361194	0	356395	4799	NA	NA
C64	Diagnoses - main ICD10: C64 Malignant neoplasm of kidney, except renal pelvis	categorical	icd10	361194	0	360493	701	NA	NA
S60	Diagnoses - main ICD10: S60 Superficial injury of wrist and hand	categorical	icd10	361194	0	361035	159	NA	NA
Z30	Diagnoses - main ICD10: Z30 Contraceptive management	categorical	icd10	361194	0	354802	6392	NA	NA
R30	Diagnoses - main ICD10: R30 Pain associated with micturition	categorical	icd10	361194	0	360835	359	NA	NA
I60	Diagnoses - main ICD10: I60 Subarachnoid haemorrhage	categorical	icd10	361194	0	360552	642	NA	NA
S06	Diagnoses - main ICD10: S06 Intracranial injury	categorical	icd10	361194	0	360389	805	NA	NA
K37	Diagnoses - main ICD10: K37 Unspecified appendicitis	categorical	icd10	361194	0	360839	355	NA	NA
H73	Diagnoses - main ICD10: H73 Other disorders of tympanic membrane	categorical	icd10	361194	0	361032	162	NA	NA
B34	Diagnoses - main ICD10: B34 Viral infection of unspecified site	categorical	icd10	361194	0	360261	933	NA	NA
Z85	Diagnoses - main ICD10: Z85 Personal history of malignant neoplasm	categorical	icd10	361194	0	360956	238	NA	NA
I22	Diagnoses - main ICD10: I22 Subsequent myocardial infarction	categorical	icd10	361194	0	360730	464	NA	NA
D69	Diagnoses - main ICD10: D69 Purpura and other haemorrhagic conditions	categorical	icd10	361194	0	360784	410	NA	NA
S81	Diagnoses - main ICD10: S81 Open wound of lower leg	categorical	icd10	361194	0	360907	287	NA	NA
J69	Diagnoses - main ICD10: J69 Pneumonitis due to solids and liquids	categorical	icd10	361194	0	361051	143	NA	NA
J31	Diagnoses - main ICD10: J31 Chronic rhinitis, nasopharyngitis and pharyngitis	categorical	icd10	361194	0	360903	291	NA	NA
F33	Diagnoses - main ICD10: F33 Recurrent depressive disorder	categorical	icd10	361194	0	360901	293	NA	NA
Z80	Diagnoses - main ICD10: Z80 Family history of malignant neoplasm	categorical	icd10	361194	0	360817	377	NA	NA
C16	Diagnoses - main ICD10: C16 Malignant neoplasm of stomach	categorical	icd10	361194	0	360806	388	NA	NA
M53	Diagnoses - main ICD10: M53 Other dorsopathies, not elsewhere classified	categorical	icd10	361194	0	360852	342	NA	NA
Z50	Diagnoses - main ICD10: Z50 Care involving use of rehabilitation procedures	categorical	icd10	361194	0	360976	218	NA	NA
Z34	Diagnoses - main ICD10: Z34 Supervision of normal pregnancy	categorical	icd10	361194	0	360463	731	NA	NA
D50	Diagnoses - main ICD10: D50 Iron deficiency anaemia	categorical	icd10	361194	0	357972	3222	NA	NA
M77	Diagnoses - main ICD10: M77 Other enthesopathies	categorical	icd10	361194	0	360199	995	NA	NA
I10	Diagnoses - main ICD10: I10 Essential (primary) hypertension	categorical	icd10	361194	0	360407	787	NA	NA
I78	Diagnoses - main ICD10: I78 Diseases of capillaries	categorical	icd10	361194	0	360904	290	NA	NA
H01	Diagnoses - main ICD10: H01 Other inflammation of eyelid	categorical	icd10	361194	0	361042	152	NA	NA
K00	Diagnoses - main ICD10: K00 Disorders of tooth development and eruption	categorical	icd10	361194	0	361071	123	NA	NA
T84	Diagnoses - main ICD10: T84 Complications of internal orthopaedic prosthetic devices, implants and grafts	categorical	icd10	361194	0	357475	3719	NA	NA
S02	Diagnoses - main ICD10: S02 Fracture of skull and facial bones	categorical	icd10	361194	0	359843	1351	NA	NA
K60	Diagnoses - main ICD10: K60 Fissure and fistula of anal and rectal regions	categorical	icd10	361194	0	359085	2109	NA	NA
S66	Diagnoses - main ICD10: S66 Injury of muscle and tendon at wrist and hand level	categorical	icd10	361194	0	360405	789	NA	NA
S70	Diagnoses - main ICD10: S70 Superficial injury of hip and thigh	categorical	icd10	361194	0	361065	129	NA	NA
R10	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	categorical	icd10	361194	0	340954	20240	NA	NA
Z87	Diagnoses - main ICD10: Z87 Personal history of other diseases and conditions	categorical	icd10	361194	0	360960	234	NA	NA
R15	Diagnoses - main ICD10: R15 Faecal incontinence	categorical	icd10	361194	0	360284	910	NA	NA
N28	Diagnoses - main ICD10: N28 Other disorders of kidney and ureter, not elsewhere classified	categorical	icd10	361194	0	360742	452	NA	NA
D39	Diagnoses - main ICD10: D39 Neoplasm of uncertain or unknown behaviour of female genital organs	categorical	icd10	361194	0	361069	125	NA	NA
O26	Diagnoses - main ICD10: O26 Maternal care for other conditions predominantly related to pregnancy	categorical	icd10	361194	0	359905	1289	NA	NA
L03	Diagnoses - main ICD10: L03 Cellulitis	categorical	icd10	361194	0	356947	4247	NA	NA
I73	Diagnoses - main ICD10: I73 Other peripheral vascular diseases	categorical	icd10	361194	0	360528	666	NA	NA
H74	Diagnoses - main ICD10: H74 Other disorders of middle ear and mastoid	categorical	icd10	361194	0	360961	233	NA	NA
D07	Diagnoses - main ICD10: D07 Carcinoma in situ of other and unspecified genital organs	categorical	icd10	361194	0	360858	336	NA	NA
I83	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	categorical	icd10	361194	0	352431	8763	NA	NA
M20	Diagnoses - main ICD10: M20 Acquired deformities of fingers and toes	categorical	icd10	361194	0	353421	7773	NA	NA
R17	Diagnoses - main ICD10: R17 Unspecified jaundice	categorical	icd10	361194	0	360862	332	NA	NA
M87	Diagnoses - main ICD10: M87 Osteonecrosis	categorical	icd10	361194	0	361003	191	NA	NA
B07	Diagnoses - main ICD10: B07 Viral warts	categorical	icd10	361194	0	360757	437	NA	NA
D37	Diagnoses - main ICD10: D37 Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs	categorical	icd10	361194	0	360458	736	NA	NA
T43	Diagnoses - main ICD10: T43 Poisoning by psychotropic drugs, not elsewhere classified	categorical	icd10	361194	0	360502	692	NA	NA
L92	Diagnoses - main ICD10: L92 Granulomatous disorders of skin and subcutaneous tissue	categorical	icd10	361194	0	360856	338	NA	NA
R60	Diagnoses - main ICD10: R60 Oedema, not elsewhere classified	categorical	icd10	361194	0	360967	227	NA	NA
C43	Diagnoses - main ICD10: C43 Malignant melanoma of skin	categorical	icd10	361194	0	359522	1672	NA	NA
G37	Diagnoses - main ICD10: G37 Other demyelinating diseases of central nervous system	categorical	icd10	361194	0	360994	200	NA	NA
E11	Diagnoses - main ICD10: E11 Non-insulin-dependent diabetes mellitus	categorical	icd10	361194	0	360489	705	NA	NA
Z09	Diagnoses - main ICD10: Z09 Follow-up examination after treatment for conditions other than malignant neoplasms	categorical	icd10	361194	0	352730	8464	NA	NA
K21	Diagnoses - main ICD10: K21 Gastro-oesophageal reflux disease	categorical	icd10	361194	0	350451	10743	NA	NA
N61	Diagnoses - main ICD10: N61 Inflammatory disorders of breast	categorical	icd10	361194	0	360851	343	NA	NA
D44	Diagnoses - main ICD10: D44 Neoplasm of uncertain or unknown behaviour of endocrine glands	categorical	icd10	361194	0	361081	113	NA	NA
M31	Diagnoses - main ICD10: M31 Other necrotising vasculopathies	categorical	icd10	361194	0	360868	326	NA	NA
D12	Diagnoses - main ICD10: D12 Benign neoplasm of colon, rectum, anus and anal canal	categorical	icd10	361194	0	352317	8877	NA	NA
H91	Diagnoses - main ICD10: H91 Other hearing loss	categorical	icd10	361194	0	360804	390	NA	NA
H71	Diagnoses - main ICD10: H71 Cholesteatoma of middle ear	categorical	icd10	361194	0	360864	330	NA	NA
G51	Diagnoses - main ICD10: G51 Facial nerve disorders	categorical	icd10	361194	0	360819	375	NA	NA
M43	Diagnoses - main ICD10: M43 Other deforming dorsopathies	categorical	icd10	361194	0	360577	617	NA	NA
M84	Diagnoses - main ICD10: M84 Disorders of continuity of bone	categorical	icd10	361194	0	360129	1065	NA	NA
N43	Diagnoses - main ICD10: N43 Hydrocele and spermatocele	categorical	icd10	361194	0	360310	884	NA	NA
K74	Diagnoses - main ICD10: K74 Fibrosis and cirrhosis of liver	categorical	icd10	361194	0	360942	252	NA	NA
S61	Diagnoses - main ICD10: S61 Open wound of wrist and hand	categorical	icd10	361194	0	359329	1865	NA	NA
H60	Diagnoses - main ICD10: H60 Otitis externa	categorical	icd10	361194	0	360892	302	NA	NA
Z46	Diagnoses - main ICD10: Z46 Fitting and adjustment of other devices	categorical	icd10	361194	0	357580	3614	NA	NA
K75	Diagnoses - main ICD10: K75 Other inflammatory liver diseases	categorical	icd10	361194	0	360892	302	NA	NA
M67	Diagnoses - main ICD10: M67 Other disorders of synovium and tendon	categorical	icd10	361194	0	358581	2613	NA	NA
M70	Diagnoses - main ICD10: M70 Soft tissue disorders related to use, overuse and pressure	categorical	icd10	361194	0	360115	1079	NA	NA
K92	Diagnoses - main ICD10: K92 Other diseases of digestive system	categorical	icd10	361194	0	356175	5019	NA	NA
O70	Diagnoses - main ICD10: O70 Perineal laceration during delivery	categorical	icd10	361194	0	358117	3077	NA	NA
J46	Diagnoses - main ICD10: J46 Status asthmaticus	categorical	icd10	361194	0	361014	180	NA	NA
Z01	Diagnoses - main ICD10: Z01 Other special examinations and investigations of persons without complaint or reported diagnosis	categorical	icd10	361194	0	359824	1370	NA	NA
C67	Diagnoses - main ICD10: C67 Malignant neoplasm of bladder	categorical	icd10	361194	0	359640	1554	NA	NA
K07	Diagnoses - main ICD10: K07 Dentofacial anomalies [including malocclusion]	categorical	icd10	361194	0	360784	410	NA	NA
E83	Diagnoses - main ICD10: E83 Disorders of mineral metabolism	categorical	icd10	361194	0	360436	758	NA	NA
E23	Diagnoses - main ICD10: E23 Hypofunction and other disorders of pituitary gland	categorical	icd10	361194	0	361021	173	NA	NA
K86	Diagnoses - main ICD10: K86 Other diseases of pancreas	categorical	icd10	361194	0	360673	521	NA	NA
R47	Diagnoses - main ICD10: R47 Speech disturbances, not elsewhere classified	categorical	icd10	361194	0	360895	299	NA	NA
K61	Diagnoses - main ICD10: K61 Abscess of anal and rectal regions	categorical	icd10	361194	0	360141	1053	NA	NA
O75	Diagnoses - main ICD10: O75 Other complications of labour and delivery, not elsewhere classified	categorical	icd10	361194	0	360986	208	NA	NA
O63	Diagnoses - main ICD10: O63 Long labour	categorical	icd10	361194	0	360134	1060	NA	NA
M89	Diagnoses - main ICD10: M89 Other disorders of bone	categorical	icd10	361194	0	360402	792	NA	NA
C90	Diagnoses - main ICD10: C90 Multiple myeloma and malignant plasma cell neoplasms	categorical	icd10	361194	0	360793	401	NA	NA
O62	Diagnoses - main ICD10: O62 Abnormalities of forces of labour	categorical	icd10	361194	0	361014	180	NA	NA
N71	Diagnoses - main ICD10: N71 Inflammatory disease of uterus, except cervix	categorical	icd10	361194	0	361068	126	NA	NA
S86	Diagnoses - main ICD10: S86 Injury of muscle and tendon at lower leg level	categorical	icd10	361194	0	360527	667	NA	NA
C01	Diagnoses - main ICD10: C01 Malignant neoplasm of base of tongue	categorical	icd10	361194	0	361092	102	NA	NA
